spin_number,bet_value,visible_symbols_after_stop,win_value,special_symbols_seen,feature_triggered,evidence_filename,notes
36,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_036_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
37,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_037_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
38,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_038_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
39,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_039_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
40,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_040_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
41,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_041_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
42,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_042_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
43,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_043_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
44,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_044_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
45,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_045_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
46,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_046_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
47,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_047_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
48,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_048_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
49,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_049_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
50,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_050_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
51,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_051_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
52,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_052_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
53,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_053_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
54,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_054_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
55,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_055_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
56,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_056_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
57,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_057_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
58,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_058_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
59,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_059_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
60,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_060_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
